team1,team2,score1,score2,RESULT,SCORE_DIFF
Indiana Pacers,Miami Heat,115,124,L,-9
Miami Heat,Indiana Pacers,124,115,W,9
Toronto Raptors,Brooklyn Nets,117,92,W,25
Brooklyn Nets,Toronto Raptors,92,117,L,-25
Los Angeles Clippers,Dallas Mavericks,130,122,W,8
Dallas Mavericks,Los Angeles Clippers,122,130,L,-8
Boston Celtics,Philadelphia 76ers,102,94,W,8
Philadelphia 76ers,Boston Celtics,94,102,L,-8
Denver Nuggets,Utah Jazz,87,124,L,-37
Utah Jazz,Denver Nuggets,124,87,W,37
Orlando Magic,Milwaukee Bucks,96,111,L,-15
Milwaukee Bucks,Orlando Magic,111,96,W,15
Miami Heat,Indiana Pacers,109,100,W,9
Indiana Pacers,Miami Heat,100,109,L,-9
Portland Trail Blazers,Los Angeles Lakers,88,111,L,-23
Los Angeles Lakers,Portland Trail Blazers,111,88,W,23
Oklahoma City Thunder,Houston Rockets,98,111,L,-13
Houston Rockets,Oklahoma City Thunder,111,98,W,13
Philadelphia 76ers,Boston Celtics,101,128,L,-27
Boston Celtics,Philadelphia 76ers,128,101,W,27
Brooklyn Nets,Toronto Raptors,99,104,L,-5
Toronto Raptors,Brooklyn Nets,104,99,W,5
Utah Jazz,Denver Nuggets,124,105,W,19
Denver Nuggets,Utah Jazz,105,124,L,-19
Dallas Mavericks,Los Angeles Clippers,127,114,W,13
Los Angeles Clippers,Dallas Mavericks,114,127,L,-13
Portland Trail Blazers,Los Angeles Lakers,100,93,W,7
Los Angeles Lakers,Portland Trail Blazers,93,100,L,-7
Orlando Magic,Milwaukee Bucks,122,110,W,12
Milwaukee Bucks,Orlando Magic,110,122,L,-12
Miami Heat,Indiana Pacers,113,101,W,12
Indiana Pacers,Miami Heat,101,113,L,-12
Oklahoma City Thunder,Houston Rockets,108,123,L,-15
Houston Rockets,Oklahoma City Thunder,123,108,W,15
Brooklyn Nets,Toronto Raptors,110,134,L,-24
Toronto Raptors,Brooklyn Nets,134,110,W,24
Utah Jazz,Denver Nuggets,125,135,L,-10
Denver Nuggets,Utah Jazz,135,125,W,10
Dallas Mavericks,Los Angeles Clippers,110,118,L,-8
Los Angeles Clippers,Dallas Mavericks,118,110,W,8
Philadelphia 76ers,Boston Celtics,101,109,L,-8
Boston Celtics,Philadelphia 76ers,109,101,W,8
Memphis Grizzlies,Portland Trail Blazers,122,126,L,-4
Portland Trail Blazers,Memphis Grizzlies,126,122,W,4
Miami Heat,Indiana Pacers,92,109,L,-17
Indiana Pacers,Miami Heat,109,92,W,17
Oklahoma City Thunder,Los Angeles Clippers,103,107,L,-4
Los Angeles Clippers,Oklahoma City Thunder,107,103,W,4
Denver Nuggets,Toronto Raptors,109,117,L,-8
Toronto Raptors,Denver Nuggets,117,109,W,8
Philadelphia 76ers,Houston Rockets,134,96,W,38
Houston Rockets,Philadelphia 76ers,96,134,L,-38
New Orleans Pelicans,Orlando Magic,127,133,L,-6
Orlando Magic,New Orleans Pelicans,133,127,W,6
Washington Wizards,Boston Celtics,96,90,W,6
Boston Celtics,Washington Wizards,90,96,L,-6
San Antonio Spurs,Utah Jazz,112,118,L,-6
Utah Jazz,San Antonio Spurs,118,112,W,6
Sacramento Kings,Los Angeles Lakers,136,122,W,14
Los Angeles Lakers,Sacramento Kings,122,136,L,-14
Milwaukee Bucks,Memphis Grizzlies,106,119,L,-13
Memphis Grizzlies,Milwaukee Bucks,119,106,W,13
Dallas Mavericks,Phoenix Suns,102,128,L,-26
Phoenix Suns,Dallas Mavericks,128,102,W,26
Portland Trail Blazers,Brooklyn Nets,134,133,W,1
Brooklyn Nets,Portland Trail Blazers,133,134,L,-1
Toronto Raptors,Philadelphia 76ers,125,121,W,4
Philadelphia 76ers,Toronto Raptors,121,125,L,-4
Indiana Pacers,Houston Rockets,108,104,W,4
Houston Rockets,Indiana Pacers,104,108,L,-4
Miami Heat,Oklahoma City Thunder,115,116,L,-1
Oklahoma City Thunder,Miami Heat,116,115,W,1
Los Angeles Clippers,Denver Nuggets,124,111,W,13
